　	連敗記録	脱出手段	対戦詳細	シーズン	日時	永世ID	備考																	
永世寿司ベジータ王	13	自力脱出	詳細	シーズン3	7/18 20:19	16	よく羽根箒とダブルアップチャンスを引いてた																	
永世聖夜死神総大将	12	自力脱出	詳細	シーズン3	7/20 0:31	17	煌めく竜でAFを割るスタイル。ただ相手を止めても返しでワンキルできる火力を出せずその次のターンに押し切られる事が多々あった																	
永世金の卵帝王	23	自力脱出	詳細	シーズン3	7/24 21:43	18	ふわん帝ッチ　前回着席時からシルバー帯に昇格しレベルも1アップ。殆どの試合で伏せエンドの事故が多かった。																	
永世混惑魔王	28	自力脱出	詳細	シーズン3	7/26 4:49	19	狡猾型蟲惑魔と聞いていましたが…【罠型ドラグマシャドール】の間違いでしたか																	
永世龍神王	14	自力脱出	詳細	シーズン3	7/27 9:32	20	妨害や事故で中々動けなかったが、ガスタに手札抹殺から洗脳で盤面破壊ハンデスを決めた。構築はメタビではなく洗脳コントロールだった。																	
永世墓守王	17	自力脱出	詳細	シーズン3	8/4 1:29	21	永世デッキはやめたほうがいいと思います もっとガチデッキにしたらどうですか？ 墓守なんかはどうですか最近のデッキは墓地をよく活用するからイイと思いますよ																	
永世教竜王	12	自力脱出	詳細	シーズン4	8/13 7:28	22	ドラグマダイノルフィア　本来圧倒的に有利なはずのデスピアがふわふわプレイをかまして脱出に成功																	
永世聖刻儀水卿	12	通報	詳細	シーズン4	8/22 8:57	23	ハリラドンを取り込んだ古の聖刻リチュアで乗り込んだが連敗を重ねた																	
永世幽戯王GX	13	自力脱出	詳細	シーズン4	8/22 14:55	24	🎈かりんちゃん3冠おめでとう🎈																	
永世ラピュタ王	13	自力脱出	詳細	シーズン4	8/23 19:36	25	🎈4冠おめでとう🎈																	
永世火星緩和王	13	自力脱出	詳細	シーズン4	8/25 4:08	26	紙からオルガを使い続ける熟練「」だったが運の悪さがずるずる続き永世になってしまった																	
永世・J・名誉会長	12	自力脱出	詳細	シーズン4	8/26 4:56	27	頭がおかしくなりマース																	
永世修道女王	18	通報	詳細	シーズン4	8/26 22:40	28	マギストスエクソシスター　最後の最後でじこって心が折れ通報　間違ったデッキ持ってきて慣れない戦闘して連敗																	
永世刃王十聖刃	12	通報	詳細	シーズン4	8/28 8:06	29	ハリラドンしてXセイバーでハンデスするデッキ																	
永世機殻藪蛇王	16	自力脱出	詳細	シーズン4.5	9/3 0:02	30	ちいかわと化した獄卒陽性　ドレ先とのPテーマ対決をスキドレで制して脱出																	
永世尚磨君	18	自力脱出	詳細	シーズン4.5	9/4 6:57	31	純魔鍵　だけどこの「コロシアム」は新たな「奴隷」を招いてくれた　デュエルを通して　特別な初着席　大切な18連敗　ボクにはかけがえのない永世の称号を																	
永世被食植物王	16	自力脱出	詳細	シーズン4.5	9/8 0:02	32	捕食植物																	
永世烙印凶導聖	13	自力脱出	詳細	シーズン5	9/14 0:07	33	烙印タッチした儀式ドラグマ。さくらを採用していたが無駄にデッキタイプが多い負けコロとは相性が悪かった																	
永世大将軍	13	自力脱出	詳細	シーズン5	9/14 15:33	34	六武衆　プレゼン完成した日に永世になってしまった　>わけねぇだろどいつもこいつも誘発握りやがって殺すぞ																	
永世大魔王バーン様	12	自力脱出	詳細	シーズン5	9/17 14:05	35	最後の最後で天気相手にカイザーフェニックスをマシンガン掃射し見事太陽をこの手に掴んだ																	
永世甲虫王者	12	自力脱出	詳細	シーズン5	9/25 8:11	36	ビートルーパー　資産不足により誘発が少ないなどデッキ構築が悪かった模様																	
永世苗床剣聖王	15	自力脱出	詳細	シーズン5.5	10/5 9:25	37	理論派居合に目覚めた剣聖 コイントス運が終わっていた																	
永世負筒劇団	16	自力脱出	詳細	シーズン5.5	10/8 2:28	38	魔界劇団　沢渡さん！筒多すぎっすよ！																	
永世幻魔皇	13	自力脱出	詳細	シーズン5.5	10/8 18:22	39	ロマン要素多めの三幻魔　混沌幻魔アーミタイル－虚無幻影羅生悶による10000パンチで脱出																	
永世蟹玉	12	通報	詳細	シーズン5.5	10/9 1:37	40	機巧と懐獣でサポートするシザースバンカー　深夜の連敗も相まってプレミもあり永世に																	
永世シコ束王	12	自力脱出	詳細	シーズン5.5	10/11 5:06	41	烙印霊使い型シコ束　烙印要素の詰めが甘かったのか捲られることが多かった																	
永世光子竜皇	13	自力脱出	詳細	シーズン6	10/16 5:06	42	名前を背負ったトップロードのごとく不運だった　苦しみ抜きながらも最後は11200光子竜皇パンチが決まり脱出																	
永世出幻輪廻王	35	自力脱出	詳細	シーズン6	10/22 20:20	43	芝刈りV・HERO  ほとんど機能しない破壊輪廻を抱えながらも5時間半を超える激闘の末に十代を破って脱出																	
永世吉良吉影	12	自力脱出	詳細	シーズン6	10/24 14:32	44	チェーンバーン　爆弾魔と化した獄卒だったがDIOやディアボロなど杜王町の住人により小道送りにされた																	
永世幻奏ウタ姫	15	自力脱出	詳細	シーズン6	10/25 11:29	45	サンボルなどを入れ後攻型にした結果、火力と捲り力が足りず永世になった																	
永世機塊王	12	自力脱出	詳細	シーズン6.5	11/1 16:31	46	手札事故が酷くいい初手の時はしょうもなや先攻ワンキルなどで相手が悪く永世になった																	
永世雲魔王	17	自力脱出	詳細	シーズン6.5	11/4 1:47	47	かなりの試合で先行で3~4ウーサとワイアームを立てたがひたすら相手の手札が強く捲られ続けた　事故り散らかした@イグニスター相手にバハシャビートで削りきって脱出																	
永世北極星熊王	15	自力脱出	詳細	シーズン6.5	11/4 10:11	48	青眼出張ベアルクティ　勝てる手札だった相手がミスしてしまい脱出																	
永世枯渇魔王	13	自力脱出	詳細	シーズン6.5	11/9 15:34	49	蟲惑魔4枚　>すみませんまともな構築の蟲惑魔が7連敗していて動悸が止まらなかったものですがまともな構築ではなかったので動悸が収まりました																	
永世薫風神裔	14	自力脱出	詳細	シーズン6.5	11/11 0:30	50	SRガスタ　同日（11/10）2度目の2桁連敗																	
永世陽炎獣王	13	通報	詳細	シーズン7	11/11 19:52	51	スマホが真炎の爆発して通報 s7初リストin&初通報ライン&初永世&初通報																	
永世極東チャンピオン	12	通報	詳細	シーズン7	11/17 23:56	52	ギミックパペット　全体的にコイントス運が悪く先攻取れてもあまり動けずで無事永世になって通報された																	
永世英雄幻王	15	自力脱出	詳細	シーズン7	11/18 18:00	53	以前永世になったのとは別の奴隷　Gツッパした【水属性】をトリニティで削り切り脱出																	
永世超時空戦闘蟹	17	自力脱出	詳細	シーズン7	11/18 21:30	54	巨大戦艦を倒して脱出																	
永世宝玉王	14	自力脱出	詳細	シーズン7	11/22 5:46	55	最後はアクセスとレインボーネオスの超融合2みたいな盤面でエルをボコして脱出																	
永世鎖兎王	12	自力脱出	詳細	シーズン7	11/24 6:13	56	エルフの剣士との熱いメタビ合戦を制し脱出																	
永世超重荒神	12	自力脱出	詳細	シーズン7	11/24 20:14	57	超重武者 運も悪かったが魔法・罠を使えない事があまりに響いた																	
永世聖輝士	16	自力脱出	詳細	シーズン7	11/26 19:53	58	4素材ロンゴミを立てて脱出 現環境では純構築テラナイトはあまりに厳しすぎた																	
永世閉瞼悪夢王	13	自力脱出	詳細	シーズン7.5	12/2 23:58	59	夢魔鏡　永世戦でイケメンに受けた醒めない悪夢が名前の由来　試合内容はひたすらに運が悪かった																	
永世音階肥惑魔王	20	自力脱出	詳細	シーズン7.5	12/5 6:26	60	ドレミ蟲惑魔(60枚) 最後はガチメタしてきたエンディミオンをアトラの効果読んでないのがいけないんだよ罪で倒して脱出																	
永世騎怪蟲王	15	自力脱出	詳細	シーズン7.5	12/6 12:28	61	ビートルーパークローラー デッキが50枚と太く運も悪かったがstopされた 「対戦中笑ってた人達私に負けたら蟲以下って書いた札を首から下げて下さいね」																	
永世ホワイト王	12	自力脱出	詳細	シーズン8	12/10 15:23	62	ヌート青眼　それまでの12敗が嘘のようにぶん回りふわふわヌメロンを捲って脱出																	
永世瀞白銀魔像皇	22	自力脱出	詳細	シーズン8	12/14 5:51	63	初代様のトロイメアラビュリンス(自称)　22戦目の対ドレミコードはふわふわの連鎖で500レスほどを一気に消費した																	
永世薫風神裔GX	13	自力脱出	詳細	シーズン8	12/15 16:18	64	SRガスタ　おいたわしや…ピリカちゃん…																	
永世警察王	14	自力脱出	詳細	シーズン8	12/15 21:32	65	S-Force　脱出請負人はあの永世輪廻だった																	
永世五光黒炎王	15	通報	詳細	シーズン8	12/21 23:55	66	レッドアイズ　本人曰く五冠　前回に比べ陰湿に寄せた構築だったが…… 心が折れて通報																	
永世迷探偵W・クラフト	12	通報	詳細	シーズン8	12/26 6:52	67	芝刈り60枚烙印ッチ入りWC　ことごとくクソ推理だった																	
永世墓地闇三王	12	通報	詳細	シーズン8.5	12/28 11:40	68	古の呪文ﾎﾞﾁﾔﾐｻﾝﾀｲを携え殴り込んだがあまりにもデッキが古すぎたか																	
永世陽炎獣王GX	13	通報	詳細	シーズン8.5	12/29 14:14	69	負けコロでの戦いに全てを出し尽くし2冠となった陽炎獣は続く弱コロで嘘のように無双した																	
永世薫風神裔5D's	12	通報	詳細	シーズン8.5	1/1 22:30	70	SRガスタ　>ごめんなさいもう戦えないです許してください																	
永世巨大戦艦ゼロデイ	16	自力脱出	詳細	シーズン8.5	1/2 22:07	71	当日の昼に巨大戦艦のシクパを剥いた0日目																	
永世甲虫王者GX	13	自力脱出	詳細	シーズン8.5	1/3 8:15	72	ロイハラヘラクレス入りビートルーパー　>私ビートルーパー二冠って本当ですか？なんで？																	
永世機械仕掛けの王	12	自力脱出	詳細	シーズン8.5	1/4 2:39	73	ヴァイロン　ワーム相手に強襲したら返り討ちに合いそのまま永世に																	
永世マスター鮫島	15	自力脱出	詳細	シーズン8.5	1/4 14:50	74	サイバーオーガに全掛け　回りそうな試合はニビルを落とされまくった　事故った相手にワンキルを決めて脱出						たのお											
永世薫風竜騎士王	14	自力脱出	詳細	シーズン8.5	1/5 12:38	75	ドラグニティガスタ　運が悪かった																	
永世HALT王	20	自力脱出	詳細	シーズン8.5	1/8 6:10	76	大体の試合で罠が吹き飛ばされる事が多かった																	
永世強襲王	14	自力脱出	詳細	シーズン8.5	1/10 9:44	77	PSYフレーム、シーズンラストに強襲を仕掛ける。　彼の永世を持ってシーズン8.5は永世数最多となった																	
永世未来暗黒次元王	14	自力脱出	詳細	シーズン9	1/19 4:06	78	フォーチュンレディ　>嘘だろ三ヶ日の負けコロ参加しないでランクマで調整したのにこれ永世になるの…？																	
永世甲虫王者装機	14	自力脱出	詳細	シーズン9	1/29 9:31	79	インゼクター　クラゲ先輩単体の盤面でぶん回して脱出　途中で回線落ちで剛鬼再戦を挟んでる																	
永世裏目CE王	15	自力脱出	詳細	シーズン9	2/6 2:31	80	ティンダングル　対面の＠イグニスターがTOして脱出　>なにタイムアウトしてんじゃ 勝って抜けてるといえるかも微妙ですね																	
逆襲の永世裏目CE王GX	13	自力脱出	詳細	シーズン9	2/6 9:32	81	ティンダングル　同奴隷による同日2度目の永世																	
永世音階五虹法皇	16	自力脱出	詳細	シーズン9.8	2/6 22:46	82	五虹入りドレミ　＋エキセントリックデーモンやハロハロやダムルグなどが入っていた																	
永世英雄幻王GX	18	自力脱出	詳細	シーズン9.8	2/7	83	輪廻じゃない方のV・HERO これで4冠達成となった　最終戦はV・HEROを1枚も出すことなくニビルビートで勝利																	
永世武装竜王	13	自力脱出	詳細	シーズン9.8	2/13	84	>カイコロ対戦ありがとうございました！　万丈目ではなくアームドドラゴンとして組まれたデッキ																	
永世工場強襲王	12	自力脱出	詳細	シーズン10	2/21	85	PSYフレーム、シーズン10に強襲を仕掛ける。 初代永世強襲王とは別人																	
永世裏目能工房王	12	自力脱出	詳細	シーズン10	2/26	86	WC+P.U.N.K 先攻後攻のコイントスが12戦中11回負け&残る1戦は後攻デッキ相手という悲惨さだった																	
永世勝鬨君	12	通報	詳細	シーズン10.5	3/1	87	【勝鬨】 EXは融合のみで14枚だった																	
永世死の行軍王	12	通報	詳細	シーズン10.5	3/6	88	剣闘鉄獣　永世到達か通院時間が迫ったら通報するという術式の開示も空しく永世に																	
永世神碑試練王。	12	自力脱出	詳細	シーズン10.5	3/6	89	初代様の神碑ジェネレイド　永世神碑闇黒魔王とのルーン対決……ルーン対決？？？を制し脱出　>最後のドローは王の試練でした俺に試練を与えるな																	
永世神碑闇黒魔王	14	自力脱出	詳細	シーズン10.5	3/6	90	シャドウディストピアルーン　前代未聞の永世リレー　DDダイナマイトでアスリート爆殺して脱出																	
永世聖夜裏目総大将GX	15	自力脱出	詳細	シーズン11	3/10	91	ホーリーナイツ　コイントス計11敗という圧倒的不運の末事故ったオッドアイズを殴り倒して脱出																	
永世輪廻聖刻王	15	自力脱出	詳細	シーズン11	3/12	92	【聖刻】最終戦は御前試合のせいで15年前の【小学生】のような泥沼化した試合を輪廻が制した　後ほろよい飲んでた																	
永世妖竜地雷王	13	自力脱出	詳細	シーズン11	3/13	93	カウンターバーン ガンメタされた結果最終的に永世と成った 最後は受け流したサイパニをアマゾネスの剣士の反射ダメージで倒して脱出																	
永世最強竜騎士王	12	自力脱出	詳細	シーズン11	3/17	94	竜騎士ガイア　パーツが強貪で飛んだりワンキルを逃したり先攻を譲られたりした結果永世になった																	
永世岩石同胞勇者王	12	自力脱出	詳細	シーズン11	3/23	95	地属性岩石族で同胞してパキケと結界像を出すデッキ 最後は結界像で相剣を詰ませて脱出																	
永世双天士王	17	自力脱出	詳細	シーズン11.5	3/29	96	絵札双天　運が悪いわけでもなく先攻も初動もあったがだいたい捲られて連敗																	
永世芝炭酸機怪神	12	自力脱出	詳細	シーズン11.5	3/30	97	芝刈りスプライトバジェクローラー　60枚で混ぜ物をしまくった結果キーカードのソゥマを引けず連敗　最後は事故ったオルガをスプライトで突破し脱出																	:⁠'⁠(
巨大永世戦艦Mk-Ⅰ	16	通報	詳細	シーズン11.5	3/31	98	巨大戦艦 陰湿罠規制が決定したためデッキレベルが落ちる前に座る 彼の永世煽りに呼応するようにほとんどの相手が殺意高めで陰湿殺しだった																	
永世裏目工房先輩	12	自力脱出	詳細	シーズン11.5	4/6	99	ウィッチクラフト　コイントス11敗という驚異のクズ運で永世に　永世決定後のデュエルで嘘のように先攻理想展開をして脱出した																	
永世聖夜三冠総大将5D's	12	自力脱出	詳細	シーズン11.5	4/7	100	ホーリーナイツ　記念すべき負けコロ永世100代目																	
永世氷水太陽神	16	自力脱出	詳細	シーズン12	4/12	101	氷水ラー　連敗中6冠になることを自白した　>ていうか次負けたら６冠なの？マジで？																	
永世道化大賢王	13	自力脱出	詳細	シーズン12	4/16	102	Emマギストス＠輪廻　>じゃあトラピーズハイマジシャンOCG化しろよ！！！！！ >早く！！！！！！！！																	
永世軌道兵器王	13	自力脱出	詳細	シーズン12	4/19	103	パワカ軸ハイドランダー　ドライバーやウォルフなどの死に札をよく引いていた																	
♪永世音階禁止始祖♪	12	自力脱出	詳細	シーズン12	4/19	104	ドレ先、遂に永世になる　コイントス10敗に加え増Gを投げられまくり永世に　最後は竜輝巧宣告者相手に今までが嘘のようにぶん回り脱出																	
永世影霊戦乙女	12	通報	詳細	シーズン12.5	5/5	105	ワルキューレネクロス　カード不足で2回入れ直し　夜中に思いついたデッキとのこと																	
永世古代機械王	13	自力脱出	詳細	シーズン12.5	5/6	106	古代の機械　パワーボンド究極巨人8800を天球から出てきたDEF0に叩きつけて脱出　譲ってるのもあってフル後攻																	
永世電脳機鬼校長	12	通報	詳細	シーズン12.5	5/6	107	サイバーオーガ　>通報するつもりだったんですが間違って対戦開始押しちゃった　で永世になった悲しき閃刀マシーン																	
永世古生洗濯竜王	12	通報	詳細	シーズン12.5	5/8	108	らどりぃ入りバージェストマ　用事のため時間になったら通報宣言してたら滑り込みで永世になった																	
永世不動永星	14	自力脱出	詳細	シーズン13	5/13	109	ジャンド　1戦目の完璧な盤面を結界波で壊滅させられたところから不運が始まった																	
永世薫風神裔ZEXAL	12	通報	詳細	シーズン13	5/16	110	SRガスタ　同一テーマ4冠の快挙?を成し遂げる　現代遊戯王のカードパワーを叩きつけられ続けた																	
永世特盛蟹玉爆発	12	自力脱出	詳細	シーズン13	5/24	111	60枚シザースバンカー　最後はギガンティックを出したのにニビルケアを忘れたスプラツインをにいあから爆破して勝利																	
永世霊魂岩矢	12	自力脱出	詳細	シーズン13	5/24	112	エスプリット　ラヴァゴからの心変わり二連発で脱出																	
永世王虎勇者王	13	自力脱出	詳細	シーズン13	5/25	113	勇者ワンフー　25日だけで合計28連敗以上の末に永世になる　キャッツ通ってデスフェニ単騎多発																	
永世六花蛇神ちゃん	13	自力脱出	詳細	シーズン13	5/28	114	爬虫類六花　コンセプトがよく分からない事や人が多くないタイミングで永世になったため戦績が中々上がらなかった																	
永世人造人魚BS	15	自力脱出	詳細	シーズン13	5/29	115	サイコショッカー　様々なテーマが混合されているが回らない様を貴族からBS(バッドスタッフ)と称された　最後は通報宣言後の試合でアクセスエルドルイフォで決め切り混合デッキとして魅せた																	
永世(∩'-'⊂)王	12	通報	詳細	シーズン13	5/30	116	墓地シンクロGS　墓地を肥やしてシンクロを重ねるデッキ　一向に墓地を肥やさせてくれず永世となった																	
永世儀式で始めるスローライフ王	14	自力脱出	詳細	シーズン13	6/3	117	宣告者弁天抜き変な儀式多めのドライトロン　別にスローライフはメインではない　>今だから白状しますとデッキ間違えてました																	
永世手札失殺王	15	通報	詳細	シーズン14	6/15	118	たぶん儀式ハンデス(代行スプライトギミックでゲール・ドグラを起動)　Youtuberの被害者　ほとんどの試合で1妨害で止まった																	
永世世紀末花札王	13	自力脱出	詳細	シーズン14	6/18	119	花札衛　今日こそオペラオーさんが永世になりましたぁぁぁぁ！！																	
永世北極星熊王GX	12	自力脱出	詳細	シーズン14	6/20	120	ベアルクティ　永世2冠　最後はバスタービーストビートで脱出																	
永世岩魚姫	15	自力脱出	詳細	シーズン14	6/23	121	天岩戸やガースラやブロドラなどの不純物が混じっていたティアラっぽいなにか　 >レ様一枚しかいないのはお金不足です許してね																	
永世深淵侵略女王	14	自力脱出	詳細	シーズン14	6/30	122	深淵インヴェルズ(ヴェルズではない)　後攻でぶん回られたりセットエンドが続いたが事故ったHERO相手に深淵メタビで封殺して脱出																	
永世昇霊魔導法王	13	自力脱出	詳細	シーズン14	7/1	123	魔導　イビルツインスプライトに一度敗北しかけるもイビルツイン側のあぷりおちたにより剛鬼再戦　統括でうららを吸ってから神判を通しGつっぱで里ジョウゲンアストラムを決めて脱出																	
永世地中界王	15	KONAMIによる通報	詳細	シーズン14.5	7/13	124	サブテラー(導師ビート)　魔術師と30分に及ぶ激闘の末 シーズンただ一人の永世となった　メンテにより強制通報																	
永世甲虫王者5D's	12	自力脱出	詳細	シーズン15	7/20	125	ビートルーパー(3冠)　剛鬼再戦の末に勝利を手にした																	
永世電撃大王	13	通報	詳細	シーズン15	7/22	126	平和の使者型エレキ　1日3永世の1人目　メタビにしては誘発や墓穴抹殺が多くその隙を突かれ放題だった																	
永世鳳凰宗教王	13	自力脱出	詳細	シーズン15	7/22	127	ねっふーあくばる！　1日3永世の2人目　最後は嘘のようにブン回りラビュリンスを下して脱出																	
永世超弩級機甲屑鉄道王	14	通報	詳細	シーズン15	7/22	128	スクラップ列車マシンナーズ　1日3永世の3人目　プレミが多かった　>デュエリスト本人の混乱バステは気を付けよう！																	
永世幽戯王5D's	21	自力脱出	詳細	シーズン15	7/25	129	ゴーストリック　前人未到の七冠　>ここまで連敗したの初めてなんですけどまだ上がいるんですね >世界は広いな～																	
永世CR蛇神ちゃん	12	通報	詳細	シーズン15	7/26	130	60イシズ爬虫類 ひたすらパチンコを外し挙句の果てには利敵までして永世に　途中ヴェノミナーガがビシバールキンに殴り殺される珍事も																	
永世球児皇	13	自力脱出	詳細	シーズン15	7/30	131	勇者U.A.　テラフォと副葬の規制が響いたか　最後はギプスの力を得たドレッドノートダンカーでワンパンして脱出																	
永世先攻蟲T王	13	自力脱出	詳細	シーズン16	8/13	132	ワンキル型ビートルーパー？　1戦目でTOした結果そのまま永世に 																	
永世恐怖の頂き皇	42	自力脱出	詳細	シーズン16	8/24	133	【ロイド】　そのデッキの理想盤面を誰も把握しないまま永世となり　そのデッキの理想展開を誰も見ないまま輪廻越えし　見ていた奴隷貴族たちを恐怖させ脱出を心の底から願われた																	
永世真炎爆発王	12	自力脱出	詳細	シーズン17	9/9	134	イグナイトラヴァル　永世戦の閃刀姫を脱出させた後そのまま永世に																	
永世弩再試行魔鍵	13	自力脱出	詳細	シーズン17	9/15	135	純魔鍵　デッキを間違えたが心の強さで戦い抜いた																	
永世ブリガンGS王	12	自力脱出	詳細	シーズン17	9/22	136	自力脱出したから幻影騎士団　プレミが多かった																	
永世初代負影	14	自力脱出	詳細	シーズン17	9/27	137	忍者　プレミも多かった　最後は忍者ミラーをミラー最強除去の落葉舞が効かないフェンリルで制して脱出																	
永世薫風神裔ARC-V	14	自力脱出	詳細	シーズン17	9/28	138	SRクシャトリラガスタ　五冠になってしまったピリカちゃんその瞳は何を見る																	
永世採掘王	16	自力脱出	詳細	シーズン17	9/30	139	アダマシア　勝てそうな場面はあったものの全体的にデッキトップの捲れ具合の弱さに泣くことが多かった																	
永世新人堕天嬢	20	通報	詳細	シーズン17	10/1	140	シモッチバーン　筒マハーマなどカウンターバーン要素も入ったせいで軸がとっ散らかった　ご飯の時間になったので通報																	
永世孔雀舞女王(狩)	14	自力脱出	詳細	シーズン17	10/5	141	【ハーピィ】　羽根吹雪自体は割と決まったが打点不足すぎた																	
永世新人死霊王	12	自力脱出	詳細	シーズン17	10/6	142	ヴェンデット　1日3永世の1人目　新人奴隷だったが永世に　60アンデシンクロをドーハスーラでレイプして脱出																	
永世不死(∩'-'⊂)王	12	通報	詳細	シーズン17	10/6	143	60アンデシンクロ　1日3永世の2人目　永世新人死霊王とアンデで遊ぼうとしたら監禁され永世となり永世リレー達成　全体的に運がとても悪かった																	
永世神星王	12	自力脱出	詳細	シーズン17	10/6	144	純セフィラ　1日3永世の3人目　誘発枠が迷走し深淵等を抜いた結果事故が多発　最後は事故ったナチュルジャンドに蓋をして脱出　彼の永世をもってシーズン永世数最多を更新した																	
永世芳香庭園王	12	自力脱出	詳細	シーズン17	10/7	145	純アロマ　EXデッキにさくら用の軍大将やGOMが入っているのを初戦のドラグマにバラされたのちに永世に																	
永世壱世壊黄金狂	14	自力脱出	詳細	シーズン17	10/10	146	アンワドーハティアラッチ　まさかの新人滑り込み1シーズン二冠　デッキのかみ合いが悪く、対面の殺意が高めなのもあり連敗　最後はアンワドーハでイグナイトを封殺して脱出																	
永世○○○・○○○	14	自力脱出	詳細	シーズン18	10/11	147	イゾルデ型HERO　ダムルグと相手ターン始めにコスモネオスを立て封殺する型 完全に決まった相手が運悪くゴーティスだった																	
永世神碑魔術廻戦王	12	自力脱出	詳細	シーズン18	10/17	148	陰湿型ルーン　自ら貼った陰湿に首を絞められたりしていた　11戦目は>すみません長考してたら降参になっちゃいました で敗北扱いに																	
永世音階聖域王	12	通報	詳細	シーズン19	11/12	149	代行ドレミ　グランドクーリアだけでは妨害不足な試合が多かった　>カードは悪くなかったんです私の構築とプレイがだめすぎたんです…																	
永世大将軍GX	14	自力脱出	詳細	シーズン19	11/13	150	超熱血球児ゼンマイ六武衆　何の因果か入院12日目に150番目の永世になった																	
永世ダイヤモンド王	16	自力脱出	詳細	シーズン19	11/17	151	【ダイヤモンドガイ】のパワーちゃん　サンボルライスト結界波などのパワカ捲り札を多く積んでいたが相手ターンの妨害不足で永世に																	
永世壱世壊黄金狂GX	12	自力脱出	詳細	シーズン19	11/24	152	アンワドーハティアラッチ　コイン裏や事故などで何もできないことが多かった　配信中だったのでセルフで仁を流していた																	
永世レインボー絵札刀皇	20	自力脱出	詳細	シーズン19	12/2	153	絵札刀皇　相手ターンを生き延びるためレインボーライフに全賭け　脱出後に戒めとして刀皇をロイヤル加工にしていた																	
永世闇黒破壊神	24	自力脱出	詳細	シーズン19	12/2	154	ディストピアオベリスク　最終戦はソウルエナジーMAX2連打ァ！を決め脱出																	
永世全米賞金王	17	通報	詳細	シーズン19	12/4	155	四冠を戴いた初代様の機皇ヴァレットリボルバー　リボルバーとキースとアポリアの合体進化形態　理想盤面を誰一人見ること無くトイレの為通報したが再起を誓う																	
永世裏目大砂海王	13	自力脱出	詳細	シーズン20	12/7	156	スプリガンズ　コイントス14戦13敗のクズ運を披露(1勝は後攻デッキのボール)      永世戦はミドラーシュショックで回線が爆発しそのまま5冠になった																	
永世(∩'-'⊂)深淵伍世壊王	12	通報	詳細	シーズン20	12/8	157	マナドゥム　(∩'-'⊂)もまん 運が悪かった																	
永世真宇宙深海王	14	自力脱出	詳細	シーズン20	12/9	158	ゴーティス　最後の対ありでネオユニヴァースになった																	
